station_id,transaction_date,station_type,region,fuel_type,litres_sold,transaction_value,payment_method,theft_flag,prevention_strategy,staff_present,incident_reported,resolution_status
ST1245,12/17/2018,Staffed,Dunedin,91,26,76.11,Pre-pay,0,CCTV,1,Yes,Pending
ST1246,11-04-18,Staffed,Christchurch,Diesel,23,63.55,Post-pay,0,Pre-pay Policy,0,Yes,Recovered
ST1247,11-04-18,Staffed,Auckland,95,31,91.89,Pay-at-pump,0,None,1,Yes,Recovered
ST1248,8/16/2019,Self-service,Hamilton,95,30,81.35,Pay-at-pump,0,None,0,Yes,Recovered
ST1249,12-04-19,Staffed,Dunedin,Diesel,32,93.36,Pay-at-pump,0,ANPR,1,Yes,Recovered
ST1250,8/15/2013,Staffed,Auckland,Diesel,33,94.23,Post-pay,0,None,1,Yes,Recovered
ST1251,12/15/2008,Staffed,Auckland,Diesel,45,132.61,Pre-pay,0,None,0,Yes,Pending
ST1252,12/18/2012,Staffed,Christchurch,91,72,214.17,Post-pay,0,Pre-pay Policy,0,Yes,Pending
ST1253,10-08-10,Unmanned,Christchurch,Diesel,58,166.17,Post-pay,0,None,1,No,Unresolved
ST1254,10-08-10,Unmanned,Dunedin,91,35,97.6,Pay-at-pump,0,CCTV,1,No,Pending
ST1255,4/16/2010,Staffed,Wellington,Diesel,39,107.29,Pre-pay,0,ANPR,1,No,Unresolved
ST1256,4/16/2010,Self-service,Christchurch,95,35,98.05,Pre-pay,0,CCTV,0,Yes,Pending
ST1257,12/16/2009,Unmanned,Dunedin,Diesel,50,149.66,Pre-pay,0,None,0,Yes,Recovered
ST1258,12/16/2009,Staffed,Dunedin,Diesel,37,100.46,Post-pay,0,Pre-pay Policy,0,Yes,Pending
ST1259,8/14/2009,Unmanned,Hamilton,95,73,223.22,Pre-pay,0,CCTV,1,Yes,Recovered
ST1260,8/14/2009,Unmanned,Auckland,95,44,135.69,Post-pay,0,CCTV,1,Yes,Pending
ST1261,4/20/2009,Self-service,Wellington,95,46,136.71,Post-pay,0,None,0,No,Pending
ST1262,12-08-16,Staffed,Christchurch,Diesel,45,130.17,Pre-pay,0,Pre-pay Policy,0,Yes,Pending
ST1263,12/25/2007,Staffed,Hamilton,Diesel,37,102.82,Pay-at-pump,0,Pre-pay Policy,0,No,Recovered
ST1264,12/25/2007,Self-service,Hamilton,91,39,113.94,Pre-pay,0,CCTV,0,Yes,Unresolved
ST1265,4/17/2008,Self-service,Wellington,91,20,56.62,Pre-pay,0,None,0,Yes,Pending
ST1266,4/17/2008,Staffed,Wellington,91,59,178.83,Pay-at-pump,0,CCTV,1,Yes,Unresolved
ST1267,8/14/2008,Staffed,Hamilton,Diesel,72,211.39,Pay-at-pump,1,CCTV,0,Yes,Pending
ST1268,4/20/2009,Self-service,Wellington,91,62,183.84,Pay-at-pump,0,ANPR,0,Yes,Pending
ST1269,12/15/2008,Unmanned,Christchurch,91,62,191.21,Pre-pay,0,None,1,Yes,Pending
ST1270,4/17/2013,Unmanned,Dunedin,Diesel,28,80.37,Post-pay,0,Pre-pay Policy,1,Yes,Recovered
ST1271,12/16/2010,Self-service,Hamilton,Diesel,24,64.81,Pre-pay,0,Pre-pay Policy,1,Yes,Unresolved
ST1272,12/16/2010,Unmanned,Hamilton,Diesel,75,217.43,Pre-pay,1,Pre-pay Policy,0,No,Unresolved
ST1273,4/14/2011,Self-service,Auckland,Diesel,40,122.53,Post-pay,1,ANPR,1,No,Pending
ST1274,12/18/2012,Unmanned,Christchurch,95,59,177.09,Pay-at-pump,0,None,0,No,Recovered
ST1275,4/17/2013,Unmanned,Hamilton,Diesel,41,118.64,Pay-at-pump,0,ANPR,0,Yes,Unresolved
ST1276,10-08-12,Staffed,Auckland,91,54,152.24,Pay-at-pump,0,ANPR,0,Yes,Recovered
ST1277,10-08-12,Staffed,Hamilton,Diesel,20,61.42,Pre-pay,0,CCTV,1,No,Recovered
ST1278,4/16/2012,Unmanned,Wellington,95,54,161.74,Pay-at-pump,0,ANPR,0,No,Unresolved
ST1279,4/16/2012,Unmanned,Hamilton,91,32,94.16,Pre-pay,0,ANPR,0,Yes,Unresolved
ST1280,4/14/2011,Staffed,Auckland,95,32,91.54,Pay-at-pump,0,CCTV,1,Yes,Pending
ST1281,09-12-11,Staffed,Dunedin,Diesel,79,243.25,Pre-pay,0,None,0,Yes,Unresolved
ST1282,12-08-16,Staffed,Auckland,91,61,166.7,Post-pay,0,CCTV,0,No,Pending
ST1283,8/23/2007,Self-service,Christchurch,91,32,90.44,Post-pay,0,CCTV,0,Yes,Recovered
ST1284,8/23/2007,Unmanned,Dunedin,91,59,176.81,Pay-at-pump,0,CCTV,0,Yes,Recovered
ST1285,8/14/2008,Staffed,Hamilton,91,79,223.35,Pay-at-pump,1,CCTV,0,No,Pending
ST1286,09-12-11,Unmanned,Dunedin,95,50,140.37,Pre-pay,0,ANPR,1,Yes,Unresolved
ST1287,09-08-11,Self-service,Hamilton,95,71,205.12,Pay-at-pump,0,CCTV,0,No,Pending
ST1288,09-08-11,Self-service,Dunedin,91,22,61.28,Post-pay,1,ANPR,0,Yes,Unresolved
ST1289,4/26/2007,Staffed,Hamilton,95,75,223.91,Pre-pay,0,CCTV,0,Yes,Recovered
ST1290,7/26/2007,Self-service,Christchurch,Diesel,79,227,Post-pay,0,CCTV,0,Yes,Recovered
ST1291,3/28/2007,Unmanned,Auckland,Diesel,44,120.93,Post-pay,0,Pre-pay Policy,1,Yes,Recovered
ST1292,6/24/2014,Staffed,Wellington,Diesel,68,188.45,Post-pay,0,None,0,No,Unresolved
ST1293,2/26/2014,Unmanned,Wellington,91,63,171.24,Post-pay,0,ANPR,0,Yes,Pending
ST1294,06-03-13,Unmanned,Wellington,91,21,64.14,Pre-pay,0,ANPR,1,Yes,Pending
ST1295,6/27/2012,Self-service,Christchurch,Diesel,30,89.67,Pre-pay,0,ANPR,1,No,Recovered
ST1296,01-11-12,Self-service,Dunedin,95,79,236.19,Pay-at-pump,0,CCTV,0,No,Unresolved
ST1297,2/20/2007,Self-service,Auckland,95,41,115.34,Post-pay,0,ANPR,0,Yes,Unresolved
ST1298,10/18/2006,Self-service,Auckland,Diesel,23,65.62,Pre-pay,0,None,1,Yes,Unresolved
ST1299,6/21/2007,Self-service,Dunedin,Diesel,34,97.21,Pre-pay,0,Pre-pay Policy,0,Yes,Recovered
ST1300,10/17/2008,Staffed,Dunedin,91,77,234.78,Pre-pay,0,CCTV,1,Yes,Unresolved
ST1301,2/16/2009,Unmanned,Dunedin,91,31,83.85,Pay-at-pump,1,ANPR,1,Yes,Pending
ST1302,6/17/2009,Unmanned,Dunedin,91,22,63.56,Pay-at-pump,1,CCTV,0,No,Pending
ST1303,2/16/2009,Unmanned,Dunedin,95,70,190.48,Pay-at-pump,0,None,0,No,Pending
ST1304,10/15/2009,Unmanned,Dunedin,95,40,123.12,Pay-at-pump,0,CCTV,0,No,Unresolved
ST1305,10/15/2009,Self-service,Hamilton,91,61,180.38,Pay-at-pump,0,CCTV,1,Yes,Unresolved
ST1306,2/16/2010,Unmanned,Dunedin,91,57,160.71,Pay-at-pump,0,None,0,No,Unresolved
ST1307,2/16/2010,Staffed,Auckland,91,73,219.75,Post-pay,0,Pre-pay Policy,1,Yes,Unresolved
