station_id,transaction_date,station_type,region,fuel_type,litres_sold,transaction_value,payment_method,theft_flag,prevention_strategy,staff_present,incident_reported,resolution_status,year,month,day_of_week,segment
St1185,2015-07-13,Unmanned,Wellington,Gasoline 95,68,201.78,Post-Pay,0,Cctv,1,No,Recovered,2015,7,Monday,High
St1186,2015-03-23,Staffed,Wellington,Gasoline 95,64,196.64,Pay-At-Pump,0,Anpr,1,No,Unresolved,2015,3,Monday,High
St1187,2015-03-23,Staffed,Dunedin,Gasoline 95,79,240.3,Pay-At-Pump,0,Cctv,1,No,Unresolved,2015,3,Monday,High
St1188,2014-11-21,Self-Service,Hamilton,Diesel,59,178.23,Pay-At-Pump,0,Pre-Pay Policy,0,Yes,Pending,2014,11,Friday,Medium
St1189,2014-11-21,Staffed,Christchurch,Gasoline 95,76,223.1,Pay-At-Pump,0,Anpr,0,Yes,Pending,2014,11,Friday,High
St1190,2014-07-17,Unmanned,Hamilton,Diesel,50,153.55,Pre-Pay,0,,0,Yes,Unresolved,2014,7,Thursday,Medium
St1191,2014-03-21,Self-Service,Dunedin,Gasoline 91,22,67.73,Pay-At-Pump,1,Cctv,1,Yes,Pending,2014,3,Friday,Low
St1192,2014-03-21,Unmanned,Auckland,Gasoline 95,29,79.36,Pre-Pay,0,,0,Yes,Pending,2014,3,Friday,Low
St1193,2013-11-25,Unmanned,Christchurch,Gasoline 95,30,81.64,Post-Pay,0,,0,Yes,Pending,2013,11,Monday,Low
St1194,2013-07-16,Staffed,Auckland,Gasoline 95,42,124.63,Pay-At-Pump,0,,1,No,Unresolved,2013,7,Tuesday,Medium
St1195,2013-07-16,Self-Service,Dunedin,Gasoline 91,37,104.13,Post-Pay,0,Anpr,1,Yes,Recovered,2013,7,Tuesday,Medium
St1196,2013-03-25,Staffed,Christchurch,Diesel,75,228.59,Pre-Pay,0,Cctv,0,Yes,Unresolved,2013,3,Monday,High
St1197,2015-07-13,Staffed,Hamilton,Gasoline 91,42,127.16,Pre-Pay,0,Cctv,0,No,Unresolved,2015,7,Monday,Medium
St1198,2017-07-17,Self-Service,Hamilton,Diesel,46,129.54,Post-Pay,1,Cctv,1,Yes,Pending,2017,7,Monday,Medium
St1199,2017-03-16,Unmanned,Dunedin,Gasoline 95,67,193.72,Pay-At-Pump,0,Anpr,0,Yes,Unresolved,2017,3,Thursday,High
St1200,2019-03-18,Unmanned,Christchurch,Diesel,68,197.1,Pay-At-Pump,0,Pre-Pay Policy,1,Yes,Unresolved,2019,3,Monday,High
St1201,2019-03-18,Self-Service,Hamilton,Gasoline 95,58,167.48,Pre-Pay,0,,0,Yes,Unresolved,2019,3,Monday,Medium
St1202,2018-03-15,Unmanned,Christchurch,Gasoline 95,30,91.05,Pay-At-Pump,0,,0,Yes,Recovered,2018,3,Thursday,Low
St1203,2019-07-19,Self-Service,Dunedin,Gasoline 95,21,62.18,Pay-At-Pump,0,,0,No,Unresolved,2019,7,Friday,Low
St1204,2019-07-19,Self-Service,Christchurch,Gasoline 91,52,158.07,Post-Pay,1,,1,Yes,Unresolved,2019,7,Friday,Medium
St1205,2018-11-16,Staffed,Wellington,Gasoline 91,41,112.0,Post-Pay,0,Cctv,1,Yes,Pending,2018,11,Friday,Medium
St1206,2018-11-16,Self-Service,Dunedin,Gasoline 91,46,135.32,Pay-At-Pump,0,Pre-Pay Policy,1,Yes,Pending,2018,11,Friday,Medium
St1207,2018-11-16,Staffed,Christchurch,Diesel,79,229.79,Pay-At-Pump,1,Cctv,0,Yes,Unresolved,2018,11,Friday,High
St1208,2018-11-16,Unmanned,Dunedin,Diesel,23,66.51,Pay-At-Pump,0,Anpr,0,Yes,Recovered,2018,11,Friday,Low
St1209,2018-03-15,Unmanned,Wellington,Gasoline 91,45,132.96,Pre-Pay,0,,0,Yes,Recovered,2018,3,Thursday,Medium
St1210,2017-11-16,Unmanned,Hamilton,Gasoline 95,67,182.62,Pre-Pay,0,,0,No,Pending,2017,11,Thursday,High
St1211,2017-11-16,Unmanned,Christchurch,Diesel,47,134.05,Pre-Pay,0,,1,No,Pending,2017,11,Thursday,Medium
St1212,2019-08-16,Staffed,Christchurch,Gasoline 91,38,112.6,Pay-At-Pump,0,,1,Yes,Unresolved,2019,8,Friday,Medium
St1213,2019-08-16,Unmanned,Hamilton,Diesel,31,85.73,Pre-Pay,0,Pre-Pay Policy,1,Yes,Pending,2019,8,Friday,Low
St1214,2019-08-16,Self-Service,Dunedin,Gasoline 95,25,71.93,Pay-At-Pump,0,Cctv,0,Yes,Pending,2019,8,Friday,Low
St1215,2019-08-16,Self-Service,Dunedin,Gasoline 91,35,102.2,Pay-At-Pump,0,Cctv,0,Yes,Pending,2019,8,Friday,Medium
St1216,2016-12-14,Self-Service,Auckland,Gasoline 91,22,64.01,Pay-At-Pump,0,,1,No,Recovered,2016,12,Wednesday,Low
St1217,2016-12-14,Staffed,Dunedin,Gasoline 91,57,175.85,Pre-Pay,0,Cctv,0,Yes,Unresolved,2016,12,Wednesday,Medium
St1218,2016-12-14,Unmanned,Hamilton,Gasoline 91,68,196.92,Post-Pay,0,,0,Yes,Unresolved,2016,12,Wednesday,High
St1219,2015-04-15,Unmanned,Hamilton,Diesel,36,108.02,Pre-Pay,0,Anpr,0,No,Unresolved,2015,4,Wednesday,Medium
St1220,2015-04-15,Unmanned,Wellington,Gasoline 95,31,84.98,Post-Pay,0,Cctv,1,Yes,Recovered,2015,4,Wednesday,Low
St1221,2014-12-16,Staffed,Dunedin,Diesel,59,178.44,Post-Pay,0,Pre-Pay Policy,1,Yes,Unresolved,2014,12,Tuesday,Medium
St1222,2014-12-16,Self-Service,Hamilton,Gasoline 95,66,184.26,Pay-At-Pump,1,Cctv,1,Yes,Recovered,2014,12,Tuesday,High
St1223,2014-08-18,Self-Service,Wellington,Gasoline 91,23,67.99,Post-Pay,0,Cctv,0,Yes,Pending,2014,8,Monday,Low
St1224,2014-08-18,Unmanned,Auckland,Gasoline 95,54,152.18,Pre-Pay,0,,1,Yes,Pending,2014,8,Monday,Medium
St1225,2014-04-16,Self-Service,Auckland,Diesel,46,126.12,Post-Pay,0,Anpr,0,Yes,Unresolved,2014,4,Wednesday,Medium
St1226,2014-04-16,Self-Service,Wellington,Diesel,52,153.96,Post-Pay,0,Anpr,0,Yes,Unresolved,2014,4,Wednesday,Medium
St1227,2013-12-18,Staffed,Hamilton,Diesel,44,133.23,Pre-Pay,0,,0,Yes,Unresolved,2013,12,Wednesday,Medium
St1228,2013-12-18,Staffed,Wellington,Gasoline 95,71,219.15,Pre-Pay,0,Anpr,0,No,Pending,2013,12,Wednesday,High
St1229,2016-12-14,Staffed,Wellington,Gasoline 91,76,211.16,Pay-At-Pump,0,,0,No,Unresolved,2016,12,Wednesday,High
St1230,2016-12-14,Staffed,Dunedin,Gasoline 95,65,191.28,Pre-Pay,1,,0,Yes,Pending,2016,12,Wednesday,High
St1231,2017-12-13,Unmanned,Dunedin,Gasoline 91,59,181.18,Post-Pay,0,,0,Yes,Recovered,2017,12,Wednesday,Medium
St1232,2017-12-13,Staffed,Wellington,Diesel,31,88.66,Post-Pay,0,Cctv,1,No,Recovered,2017,12,Wednesday,Low
St1233,2017-12-13,Self-Service,Christchurch,Diesel,79,221.61,Pre-Pay,1,Cctv,0,Yes,Recovered,2017,12,Wednesday,High
St1234,2017-12-13,Unmanned,Auckland,Gasoline 95,42,125.01,Pre-Pay,0,,1,Yes,Unresolved,2017,12,Wednesday,Medium
St1235,2006-04-27,Self-Service,Dunedin,Diesel,48,147.79,Pre-Pay,0,Anpr,0,No,Pending,2006,4,Thursday,Medium
St1236,2006-08-23,Self-Service,Auckland,Diesel,74,209.7,Pre-Pay,0,Cctv,0,Yes,Unresolved,2006,8,Wednesday,High
St1237,2006-12-20,Self-Service,Hamilton,Gasoline 95,35,104.38,Pre-Pay,0,Pre-Pay Policy,0,Yes,Unresolved,2006,12,Wednesday,Medium
St1238,2006-12-20,Staffed,Hamilton,Gasoline 95,79,242.17,Pre-Pay,0,,0,No,Pending,2006,12,Wednesday,High
St1239,2007-04-26,Staffed,Auckland,Gasoline 91,28,82.57,Post-Pay,0,Cctv,1,Yes,Unresolved,2007,4,Thursday,Low
St1240,2007-04-26,Unmanned,Auckland,Diesel,68,195.16,Post-Pay,0,Cctv,0,Yes,Pending,2007,4,Thursday,High
St1241,2007-04-26,Unmanned,Hamilton,Diesel,57,156.7,Post-Pay,0,,1,Yes,Recovered,2007,4,Thursday,Medium
St1242,2007-04-26,Staffed,Christchurch,Diesel,23,65.23,Pre-Pay,0,Anpr,1,No,Recovered,2007,4,Thursday,Low
St1243,2013-08-15,Self-Service,Christchurch,Gasoline 95,78,235.83,Pre-Pay,0,Anpr,1,No,Unresolved,2013,8,Thursday,High
St1244,2018-12-17,Unmanned,Wellington,Gasoline 95,77,217.94,Pre-Pay,0,Cctv,0,Yes,Pending,2018,12,Monday,High
St1245,2018-12-17,Staffed,Dunedin,Gasoline 91,26,76.11,Pre-Pay,0,Cctv,1,Yes,Pending,2018,12,Monday,Low
St1246,2018-12-17,Staffed,Christchurch,Diesel,23,63.55,Post-Pay,0,Pre-Pay Policy,0,Yes,Recovered,2018,12,Monday,Low
St1247,2018-12-17,Staffed,Auckland,Gasoline 95,31,91.89,Pay-At-Pump,0,,1,Yes,Recovered,2018,12,Monday,Low
St1248,2019-08-16,Self-Service,Hamilton,Gasoline 95,30,81.35,Pay-At-Pump,0,,0,Yes,Recovered,2019,8,Friday,Low
St1249,2019-08-16,Staffed,Dunedin,Diesel,32,93.36,Pay-At-Pump,0,Anpr,1,Yes,Recovered,2019,8,Friday,Low
St1250,2013-08-15,Staffed,Auckland,Diesel,33,94.23,Post-Pay,0,,1,Yes,Recovered,2013,8,Thursday,Low
St1251,2008-12-15,Staffed,Auckland,Diesel,45,132.61,Pre-Pay,0,,0,Yes,Pending,2008,12,Monday,Medium
St1252,2012-12-18,Staffed,Christchurch,Gasoline 91,72,214.17,Post-Pay,0,Pre-Pay Policy,0,Yes,Pending,2012,12,Tuesday,High
St1253,2012-12-18,Unmanned,Christchurch,Diesel,58,166.17,Post-Pay,0,,1,No,Unresolved,2012,12,Tuesday,Medium
St1254,2012-12-18,Unmanned,Dunedin,Gasoline 91,35,97.6,Pay-At-Pump,0,Cctv,1,No,Pending,2012,12,Tuesday,Medium
St1255,2010-04-16,Staffed,Wellington,Diesel,39,107.29,Pre-Pay,0,Anpr,1,No,Unresolved,2010,4,Friday,Medium
St1256,2010-04-16,Self-Service,Christchurch,Gasoline 95,35,98.05,Pre-Pay,0,Cctv,0,Yes,Pending,2010,4,Friday,Medium
St1257,2009-12-16,Unmanned,Dunedin,Diesel,50,149.66,Pre-Pay,0,,0,Yes,Recovered,2009,12,Wednesday,Medium
St1258,2009-12-16,Staffed,Dunedin,Diesel,37,100.46,Post-Pay,0,Pre-Pay Policy,0,Yes,Pending,2009,12,Wednesday,Medium
St1259,2009-08-14,Unmanned,Hamilton,Gasoline 95,73,223.22,Pre-Pay,0,Cctv,1,Yes,Recovered,2009,8,Friday,High
St1260,2009-08-14,Unmanned,Auckland,Gasoline 95,44,135.69,Post-Pay,0,Cctv,1,Yes,Pending,2009,8,Friday,Medium
St1261,2009-04-20,Self-Service,Wellington,Gasoline 95,46,136.71,Post-Pay,0,,0,No,Pending,2009,4,Monday,Medium
St1262,2009-04-20,Staffed,Christchurch,Diesel,45,130.17,Pre-Pay,0,Pre-Pay Policy,0,Yes,Pending,2009,4,Monday,Medium
St1263,2007-12-25,Staffed,Hamilton,Diesel,37,102.82,Pay-At-Pump,0,Pre-Pay Policy,0,No,Recovered,2007,12,Tuesday,Medium
St1264,2007-12-25,Self-Service,Hamilton,Gasoline 91,39,113.94,Pre-Pay,0,Cctv,0,Yes,Unresolved,2007,12,Tuesday,Medium
St1265,2008-04-17,Self-Service,Wellington,Gasoline 91,20,56.62,Pre-Pay,0,,0,Yes,Pending,2008,4,Thursday,Low
St1266,2008-04-17,Staffed,Wellington,Gasoline 91,59,178.83,Pay-At-Pump,0,Cctv,1,Yes,Unresolved,2008,4,Thursday,Medium
St1267,2008-08-14,Staffed,Hamilton,Diesel,72,211.39,Pay-At-Pump,1,Cctv,0,Yes,Pending,2008,8,Thursday,High
St1268,2009-04-20,Self-Service,Wellington,Gasoline 91,62,183.84,Pay-At-Pump,0,Anpr,0,Yes,Pending,2009,4,Monday,Medium
St1269,2008-12-15,Unmanned,Christchurch,Gasoline 91,62,191.21,Pre-Pay,0,,1,Yes,Pending,2008,12,Monday,Medium
St1270,2013-04-17,Unmanned,Dunedin,Diesel,28,80.37,Post-Pay,0,Pre-Pay Policy,1,Yes,Recovered,2013,4,Wednesday,Low
St1271,2010-12-16,Self-Service,Hamilton,Diesel,24,64.81,Pre-Pay,0,Pre-Pay Policy,1,Yes,Unresolved,2010,12,Thursday,Low
St1272,2010-12-16,Unmanned,Hamilton,Diesel,75,217.43,Pre-Pay,1,Pre-Pay Policy,0,No,Unresolved,2010,12,Thursday,High
St1273,2011-04-14,Self-Service,Auckland,Diesel,40,122.53,Post-Pay,1,Anpr,1,No,Pending,2011,4,Thursday,Medium
St1274,2012-12-18,Unmanned,Christchurch,Gasoline 95,59,177.09,Pay-At-Pump,0,,0,No,Recovered,2012,12,Tuesday,Medium
St1275,2013-04-17,Unmanned,Hamilton,Diesel,41,118.64,Pay-At-Pump,0,Anpr,0,Yes,Unresolved,2013,4,Wednesday,Medium
St1276,2013-04-17,Staffed,Auckland,Gasoline 91,54,152.24,Pay-At-Pump,0,Anpr,0,Yes,Recovered,2013,4,Wednesday,Medium
St1277,2013-04-17,Staffed,Hamilton,Diesel,20,61.42,Pre-Pay,0,Cctv,1,No,Recovered,2013,4,Wednesday,Low
St1278,2012-04-16,Unmanned,Wellington,Gasoline 95,54,161.74,Pay-At-Pump,0,Anpr,0,No,Unresolved,2012,4,Monday,Medium
St1279,2012-04-16,Unmanned,Hamilton,Gasoline 91,32,94.16,Pre-Pay,0,Anpr,0,Yes,Unresolved,2012,4,Monday,Low
St1280,2011-04-14,Staffed,Auckland,Gasoline 95,32,91.54,Pay-At-Pump,0,Cctv,1,Yes,Pending,2011,4,Thursday,Low
St1281,2011-04-14,Staffed,Dunedin,Diesel,79,243.25,Pre-Pay,0,,0,Yes,Unresolved,2011,4,Thursday,High
St1282,2011-04-14,Staffed,Auckland,Gasoline 91,61,166.7,Post-Pay,0,Cctv,0,No,Pending,2011,4,Thursday,Medium
St1283,2007-08-23,Self-Service,Christchurch,Gasoline 91,32,90.44,Post-Pay,0,Cctv,0,Yes,Recovered,2007,8,Thursday,Low
St1284,2007-08-23,Unmanned,Dunedin,Gasoline 91,59,176.81,Pay-At-Pump,0,Cctv,0,Yes,Recovered,2007,8,Thursday,Medium
St1285,2008-08-14,Staffed,Hamilton,Gasoline 91,79,223.35,Pay-At-Pump,1,Cctv,0,No,Pending,2008,8,Thursday,High
St1286,2008-08-14,Unmanned,Dunedin,Gasoline 95,50,140.37,Pre-Pay,0,Anpr,1,Yes,Unresolved,2008,8,Thursday,Medium
St1287,2008-08-14,Self-Service,Hamilton,Gasoline 95,71,205.12,Pay-At-Pump,0,Cctv,0,No,Pending,2008,8,Thursday,High
St1288,2008-08-14,Self-Service,Dunedin,Gasoline 91,22,61.28,Post-Pay,1,Anpr,0,Yes,Unresolved,2008,8,Thursday,Low
St1289,2007-04-26,Staffed,Hamilton,Gasoline 95,75,223.91,Pre-Pay,0,Cctv,0,Yes,Recovered,2007,4,Thursday,High
St1290,2007-07-26,Self-Service,Christchurch,Diesel,79,227.0,Post-Pay,0,Cctv,0,Yes,Recovered,2007,7,Thursday,High
St1291,2007-03-28,Unmanned,Auckland,Diesel,44,120.93,Post-Pay,0,Pre-Pay Policy,1,Yes,Recovered,2007,3,Wednesday,Medium
St1292,2014-06-24,Staffed,Wellington,Diesel,68,188.45,Post-Pay,0,,0,No,Unresolved,2014,6,Tuesday,High
St1293,2014-02-26,Unmanned,Wellington,Gasoline 91,63,171.24,Post-Pay,0,Anpr,0,Yes,Pending,2014,2,Wednesday,High
St1294,2014-02-26,Unmanned,Wellington,Gasoline 91,21,64.14,Pre-Pay,0,Anpr,1,Yes,Pending,2014,2,Wednesday,Low
St1295,2012-06-27,Self-Service,Christchurch,Diesel,30,89.67,Pre-Pay,0,Anpr,1,No,Recovered,2012,6,Wednesday,Low
St1296,2012-06-27,Self-Service,Dunedin,Gasoline 95,79,236.19,Pay-At-Pump,0,Cctv,0,No,Unresolved,2012,6,Wednesday,High
St1297,2007-02-20,Self-Service,Auckland,Gasoline 95,41,115.34,Post-Pay,0,Anpr,0,Yes,Unresolved,2007,2,Tuesday,Medium
St1298,2006-10-18,Self-Service,Auckland,Diesel,23,65.62,Pre-Pay,0,,1,Yes,Unresolved,2006,10,Wednesday,Low
St1299,2007-06-21,Self-Service,Dunedin,Diesel,34,97.21,Pre-Pay,0,Pre-Pay Policy,0,Yes,Recovered,2007,6,Thursday,Low
St1300,2008-10-17,Staffed,Dunedin,Gasoline 91,77,234.78,Pre-Pay,0,Cctv,1,Yes,Unresolved,2008,10,Friday,High
St1301,2009-02-16,Unmanned,Dunedin,Gasoline 91,31,83.85,Pay-At-Pump,1,Anpr,1,Yes,Pending,2009,2,Monday,Low
St1302,2009-06-17,Unmanned,Dunedin,Gasoline 91,22,63.56,Pay-At-Pump,1,Cctv,0,No,Pending,2009,6,Wednesday,Low
St1303,2009-02-16,Unmanned,Dunedin,Gasoline 95,70,190.48,Pay-At-Pump,0,,0,No,Pending,2009,2,Monday,High
St1304,2009-10-15,Unmanned,Dunedin,Gasoline 95,40,123.12,Pay-At-Pump,0,Cctv,0,No,Unresolved,2009,10,Thursday,Medium
St1305,2009-10-15,Self-Service,Hamilton,Gasoline 91,61,180.38,Pay-At-Pump,0,Cctv,1,Yes,Unresolved,2009,10,Thursday,Medium
St1306,2010-02-16,Unmanned,Dunedin,Gasoline 91,57,160.71,Pay-At-Pump,0,,0,No,Unresolved,2010,2,Tuesday,Medium
St1307,2010-02-16,Staffed,Auckland,Gasoline 91,73,219.75,Post-Pay,0,Pre-Pay Policy,1,Yes,Unresolved,2010,2,Tuesday,High
